250
-676,652
-333,95
700,-44
-601,-517
557,-324
132,244
-735,-255
332,-912
-114,-282
-376,744
-591,-505
119,-585
931,766
-234,261
342,-100
-200,268
757,86
-692,-912
-634,-63
-448,316
815,531
-753,-144
-455,-140
527,-919
-587,354
805,-403
379,-933
243,644
-667,222
167,-356
535,-483
-586,545
930,-691
47,13
-590,-76
-357,25
-877,-920
863,468
-632,14
-450,983
-783,645
756,775
-170,-259
927,-933
333,851
399,632
-166,-451
-205,212
511,-794
-568,839
-322,-991
507,-681
297,635
-385,781
368,-235
746,-578
-461,274
-201,426
-887,-77
583,828
323,4
450,968
220,30
22,-115
-836,-885
552,-677
-982,-667
574,180
-104,-714
853,584
-544,-486
-67,-184
-432,-892
799,30
-962,-781
-414,289
-93,-616
-232,198
-924,-10
10,-18
394,-508
223,-550
-866,430
751,336
96,-758
598,-403
-247,672
230,-423
-484,-698
779,766
-491,-745
990,-360
536,366
883,-326
832,-846
190,-306
-592,280
713,0
847,817
947,-275
-974,585
471,643
-497,-174
529,-668
-987,-359
-983,-893
-942,195
982,-216
524,318
407,-648
962,907
962,404
-732,473
-212,-339
-552,-843
873,775
-905,616
894,258
-252,906
332,-493
-698,651
-868,-535
-249,-814
216,-836
-465,-601
128,962
628,753
-494,67
163,627
-396,569
237,-758
-940,552
-400,265
350,998
-379,-480
-121,-402
-34,286
271,16
-99,-126
18,-720
-854,-858
854,707
-482,418
-300,967
308,-597
115,-17
-689,-826
560,583
452,-98
-404,-787
-477,92
-780,-514
269,-420
479,-120
624,67
78,260
-438,836
-495,-38
938,47
-100,818
-932,526
-628,-277
355,252
-791,420
-177,-329
-762,-275
97,-406
416,-780
-20,-391
-363,-242
-455,-630
-459,696
867,801
-899,-971
334,781
-19,-481
-235,-404
544,309
252,-583
465,331
-284,772
-133,199
891,-319
-690,675
-651,539
286,438
27,333
-942,357
-278,-663
833,526
-865,-383
789,568
79,103
682,-966
412,-824
-376,-606
-221,-82
894,367
-11,748
320,938
-783,-76
786,-837
-999,829
-933,-747
442,-266
198,836
-249,-739
29,84
-433,17
955,867
277,-39
-664,175
77,-253
113,-278
-456,-76
-302,-249
949,421
546,-444
877,119
-151,543
-476,-680
418,700
-63,-61
151,879
70,456
39,870
353,59
143,729
-970,34
980,421
-196,580
-279,-280
-765,956
197,-91
285,434
751,216
539,-800
-279,-984
262,-568
495,559
-776,-986
-653,860
-843,-732
754,-722
-44,-94
-502,257
-881,407
448,-697
-236,288
150,974
