64
5,584
82,276
88,451
93,839
105,67
113,285
170,644
180,520
209,677
216,445
219,121
245,294
250,204
279,384
293,519
296,603
299,245
305,176
307,786
321,617
325,544
362,244
364,882
380,41
389,480
406,267
434,735
437,351
444,522
446,355
459,798
471,144
481,174
485,512
491,35
494,479
502,731
517,501
520,477
527,5
529,871
530,253
532,808
536,513
571,340
615,168
633,711
645,965
653,356
702,91
704,970
706,361
727,753
739,191
775,922
837,783
841,313
844,616
847,369
895,664
900,192
921,485
969,92
995,692
